t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1
278.97641094327065,300.0000000000006,8.759035690727778e+19,3.6181646941660045e+17,5.568629350635659e+19,3.1542246931504587e+19
288.3520649865315,300.0000000000006,8.905012015969958e+19,3.678399151427957e+17,5.661089144199399e+19,3.2071388802562937e+19
297.033226137699,300.0000000000006,9.03815611144679e+19,3.7347207265658e+17,5.745795625965297e+19,3.2550132782158426e+19
306.40888018095984,300.0000000000006,9.179724645829771e+19,3.7938459500035616e+17,5.8356854681422045e+19,3.306100718187527e+19
316.53458654768156,300.0000000000006,9.330174862415186e+19,3.855861296312446e+17,5.9309436975168e+19,3.360672551935268e+19
325.9102405909424,300.0000000000006,9.467433974571973e+19,3.9138988553923104e+17,6.018270952202006e+19,3.4100240338160517e+19
336.0359469576641,300.0000000000006,9.613413807847096e+19,3.9748582019232096e+17,6.110952167811008e+19,3.4627130580168598e+19
345.411601000925,300.0000000000006,9.746694290885154e+19,4.031580231570716e+17,6.195862149427935e+19,3.510516339141509e+19
355.5373073676467,300.0000000000006,9.888557466094959e+19,4.090993255887131e+17,6.285974763733274e+19,3.561672769802825e+19
366.47307024370616,300.0000000000006,1.0039484754753579e+20,4.1532677994440186e+17,6.381525787702439e+19,3.616426289056703e+19
376.5987766104279,300.0000000000006,1.0177316810554183e+20,4.211501813909997e+17,6.469216179688196e+19,3.6659856127268897e+19
387.53453948648735,300.0000000000006,1.0324052783891389e+20,4.272763444478601e+17,6.562365754331886e+19,3.718959395114722e+19
399.3451633926316,300.0000000000006,1.0480188946715969e+20,4.3371137007190214e+17,6.661176865265092e+19,3.775640944443687e+19
410.2809262686911,300.0000000000006,1.0331400592120083e+20,8.932608228210502e+16,6.512349431261862e+19,3.810118552630027e+19
420.4066326354128,300.0000000000006,1.0248565059064175e+20,5.9246636523792104e+16,6.407885795569594e+19,3.834754599842211e+19
431.34239551147226,300.0000000000006,1.0183477382297898e+20,4.612414462571123e+16,6.322278069231439e+19,3.8565868986039e+19
431.74239551147224,300.0000000000006,1.0181123103373482e+20,4.574977583895321e+16,6.319170590373577e+19,3.857377535416008e+19
432.1423955114722,300.0000000000006,1.0178794521459725e+20,4.538643112859322e+16,6.316095326688535e+19,3.858160551658341e+19
432.5423955114722,300.0000000000006,1.01764909451654e+20,4.503155715716989e+16,6.31305157121396e+19,3.85893621823573e+19
432.94239551147217,300.0000000000006,1.0174211711931985e+20,4.468477992645865e+16,6.3100384448255164e+19,3.859704789113824e+19
433.34239551147215,300.0000000000006,1.017195618617424e+20,4.434579481768921e+16,6.3070551032894644e+19,3.8604665034030146e+19
433.7423955114721,300.0000000000006,1.0169723757797486e+20,4.401431419502872e+16,6.304100739635869e+19,3.86122158674212e+19
434.1423955114721,300.0000000000006,1.016751384082111e+20,4.369006510716503e+16,6.30117458187099e+19,3.8619702524394e+19
434.5423955114721,300.0000000000006,1.016532587209654e+20,4.3372788307609416e+16,6.298275890820247e+19,3.862712702445538e+19
434.94239551147206,300.0000000000006,1.016315931011168e+20,4.306223738025775e+16,6.2954039581724566e+19,3.863449128201192e+19
435.34239551147203,300.0000000000006,1.0161013633874682e+20,4.275817793321073e+16,6.292558104693982e+19,3.864179711387395e+19
435.742395511472,300.0000000000006,1.0158888341870762e+20,4.246038685393039e+16,6.2897376785878155e+19,3.8649046245975695e+19
436.142395511472,300.0000000000006,1.0156782951086034e+20,4.21686516202158e+16,6.286942053979077e+19,3.86562403194494e+19
436.54239551147197,300.0000000000006,1.0154696996093349e+20,4.188276966207641e+16,6.284170629512202e+19,3.866338089614937e+19
436.94239551147194,300.0000000000006,1.0152630028195203e+20,4.160254777008825e+16,6.2814228270479516e+19,3.867046946370247e+19
437.3423955114719,300.0000000000006,1.0150581614619451e+20,4.1327801546261976e+16,6.2786980904505885e+19,3.867750744014243e+19
437.7423955114719,300.0000000000006,1.0148551337763766e+20,4.1058354893841976e+16,6.275995884456763e+19,3.868449617817634e+19
438.1423955114719,300.0000000000006,1.0146538794485442e+20,4.0794039542805144e+16,6.27331569361902e+19,3.869143696912144e+19
438.54239551147185,300.0000000000006,1.0144543595432957e+20,4.053469460813353e+16,6.270657021317513e+19,3.869833104654635e+19
438.94239551147183,300.0000000000006,1.014256536441663e+20,4.028016617821202e+16,6.268019388834473e+19,3.870517958964346e+19
439.3423955114718,300.0000000000006,1.0140603737815341e+20,4.003030693094645e+16,6.2654023344863175e+19,3.871198372635939e+19
439.7423955114718,300.0000000000006,1.0138658364016912e+20,3.978497577541846e+16,6.262805412809086e+19,3.871874453630289e+19
440.14239551147176,300.0000000000006,1.0136728902889803e+20,3.9544037517088616e+16,6.260228193792992e+19,3.8725463053451125e+19
440.54239551147174,300.0000000000006,1.013481502528407e+20,3.930736254473845e+16,6.257670262162589e+19,3.873214026867022e+19
440.9423955114717,300.0000000000006,1.0132916412559485e+20,3.90748265375e+16,6.2551312166991225e+19,3.873877713206622e+19
441.3423955114717,300.0000000000006,1.0131032756139139e+20,3.884631019046464e+16,6.252610669602127e+19,3.874537455517967e+19
441.74239551147167,300.0000000000006,1.0129163757086761e+20,3.862169895749368e+16,6.2501082458873635e+19,3.87519334130365e+19
442.14239551147165,300.0000000000006,1.0127309125706408e+20,3.840088280996877e+16,6.247623582818792e+19,3.875845454606631e+19
442.5423955114716,300.0000000000006,1.0125468581162844e+20,3.818375601032664e+16,6.245156329371982e+19,3.876493876189832e+19
442.9423955114716,300.0000000000006,1.0123641851121433e+20,3.797021689931862e+16,6.2427061457270645e+19,3.87713868370444e+19
443.3423955114716,300.0000000000006,1.012182867140646e+20,3.776016769602135e+16,6.240272702789139e+19,3.8777799518477165e+19
443.74239551147156,300.0000000000006,1.0120028785676483e+20,3.755351430970521e+16,6.237855681734358e+19,3.878417752511155e+19
444.14239551147153,300.0000000000006,1.0118241945115904e+20,3.735016616273766e+16,6.235454773580035e+19,3.879052154919605e+19
444.5423955114715,300.0000000000006,1.0116467908141654e+20,3.715003602376403e+16,6.23306967877721e+19,3.879683225762079e+19
444.9423955114715,300.0000000000006,1.0114706440124142e+20,3.695303985046846e+16,6.230700106824297e+19,3.8803110293147976e+19
445.34239551147147,300.0000000000006,1.0112957313121634e+20,3.6759096641270984e+16,6.228345775900499e+19,3.880935627557018e+19
445.74239551147144,300.0000000000006,1.0111220305627321e+20,3.656812829536645e+16,6.226006412517649e+19,3.8815570802801435e+19
446.1423955114714,300.0000000000006,1.0109495202328217e+20,3.638005948055628e+16,6.2236817511895654e+19,3.882175445190599e+19
446.5423955114714,300.0000000000006,1.0107781793875347e+20,3.619481750836561e+16,6.221371534117688e+19,3.882790778006833e+19
