750_0001,,1000_0001,,1250_0001,,750_0001b,,1000_0001b,,1250_0001b,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4.6651805479810965e-9,6257113988081752000,3.315641460583016e-9,8109993230878607000,3.0056846015780374e-9,9498990766596633000,1.9904850103693987e-9,3879236296687577000,1.5469808348255216e-9,3383340086909622300,1.8538045857648836e-9,4055340733694429000
4.849857200823615e-9,6328727871076021000,3.444854888021181e-9,7737178531120337000,3.093016704439128e-9,9083532647959794000,1.9694955662957212e-9,3607761751640201000,1.4352608949193621e-9,3163784244017844000,1.9394673153810654e-9,3905381468520636400
5.019823409040885e-9,6331411278469767000,3.668883921432586e-9,8126938375761592000,3.2062477634726847e-9,9787366423650232000,2.014964180998071e-9,3428804596587925500,1.6538876340348327e-9,4411503566871632000,2.1559197600921904e-9,4568956963948335000
5.190261978000625e-9,6393470431191761000,3.921026386551441e-9,7778142792925829000,3.3208630386699365e-9,9444506515944910000,1.943617950807865e-9,3208074716818282500,1.4930185832815216e-9,2954745472738281500,2.244717815853847e-9,4841688193691085000
5.362084620846729e-9,6629507671429766000,4.0071320588100995e-9,8225763726873593000,3.4349552312558396e-9,10053136503303160000,2.262821770106779e-9,4173787097589364700,1.7682775499991932e-9,4182503431985643500,2.2764350561075614e-9,4260318267848691700
5.532767906817627e-9,6722327752454344000,3.984640146770016e-9,7941633831711055000,3.5685288898125833e-9,9753690211471960000,2.3226880344790264e-9,3874236803102720000,1.741274473751379e-9,3971893804836862000,2.1931509598705836e-9,4010667125316135000
5.7031148491755136e-9,6772869441323508000,4.125142569121174e-9,7801064183320495000,3.840446403709851e-9,9560210736571757000,2.308299164999454e-9,3654274410792214500,1.8270744936162934e-9,3798869777875992600,2.4817723119988145e-9,4575919814516617000
5.873482706301216e-9,6826040116506905000,4.336859775879345e-9,8304721670523783000,3.887640441472189e-9,9990150186119008000,2.3749328275820015e-9,3536447449414820000,1.6868372937306582e-9,3623087174754537500,2.586391738595037e-9,4405986414550470700
6.044251785503351e-9,6929644406698028000,4.2122675161867715e-9,8071635546707546000,3.825000711868956e-9,9237025830165084000,2.5302943044035974e-9,4336102485149092000,1.9871485380455486e-9,4439763647094470700,2.7336115843871414e-9,4765006344465418000
6.214627467882316e-9,6983798716216684000,4.585068272766501e-9,8648207890158737000,4.140673821375852e-9,9753342591733668000,2.5952038568857813e-9,4112332150900871000,2.1076997530213434e-9,4125090565643557000,2.771754099504298e-9,3782351161104894000
6.384833840236119e-9,7016670755572503000,4.724452253010265e-9,8367050068868983000,4.37035527450429e-9,10141542629288570000,2.659213621268449e-9,3823947742972178400,2.084963051072807e-9,3875890975756331000,2.6703942140404992e-9,4534949850057619500
6.555009622963528e-9,7045697678890499000,4.925731994687875e-9,8745499804641166000,4.383852271333655e-9,10413977199705460000,2.8964657563532313e-9,4531942235771431000,2.331466096273961e-9,4509356393456677000,2.8350467286251627e-9,3999764181443363000
6.7248203220568484e-9,7028833589403594000,4.934293106313114e-9,8397493604899188000,4.6281726132900385e-9,10506078666381226000,2.9463202471660493e-9,4294318813700929500,2.276243488318632e-9,4292501656388800500,3.1091151015346386e-9,4885013164835316000
6.896017324048068e-9,7186227774182743000,5.2492766803710124e-9,8827135760528673000,4.693791746635517e-9,10015375514741633000,2.8991069972430933e-9,4088213766274683000,2.4470048868391497e-9,4087345325631535000,3.045196593080515e-9,4230219136852134000
7.067647655366993e-9,7398091455454281000,5.322483148238725e-9,8772292219775825000,4.598593155952951e-9,10348285706695754000,2.979795349940081e-9,4773949823525714000,2.62781827295098e-9,4567018297924370400,3.1703095160301877e-9,4098604403146203000
7.238897347396853e-9,7562108778090827000,5.592713899692802e-9,9078855671283983000,4.9098228279706165e-9,9593993410350610000,2.997181495126756e-9,3887560190784821000,2.671012020159796e-9,4431158422015768600,3.0415089131436284e-9,3900324078892904400
7.408516398923878e-9,7521154589520445000,5.920600690362412e-9,9188425885413060000,5.0438948555661305e-9,10069261072210080000,2.87302504278038e-9,3722855679228875000,2.7049443355365614e-9,3909212824299223000,3.2327733864070424e-9,4997777628110612000
7.57874269010417e-9,7556530425366010000,6.172155749288087e-9,9477862309611950000,5.014363800977414e-9,9205483372477445000,3.2238814482042437e-9,4909247767253455000,2.7771111558875694e-9,4238687527795884000,3.475501633938725e-9,4909087215201782000
7.749193779469132e-9,7620163393024416000,6.2794234104530504e-9,9194740651380932000,5.251259400359789e-9,10500501594152397000,3.2772026007273385e-9,4438580803074099000,2.872833474991451e-9,3755039067768983600,3.533139972527622e-9,4117289499572162600
7.918659171477522e-9,7559894202961713000,6.512043433729427e-9,9477606312853905000,5.2242479777278764e-9,9775424390010778000,3.2377222209543805e-9,4166373424157804500,2.9811012037012812e-9,4554566391643969500,3.770085913592196e-9,4924675359855221000
8.08858651427025e-9,7557692226490350000,6.6001961922418905e-9,9165304609594571000,5.39022458727661e-9,10166701451665748000,3.3188511795659037e-9,4778087687766583000,2.9992203237375028e-9,4358830087627655000,3.830608563707901e-9,4251123013980090400
8.273706278007052e-9,7685005148896074000,6.714903022902328e-9,9851194602922103000,5.595410908799498e-9,9849426664793817000,3.3369782815933314e-9,4106297765549601000,2.9910188277739708e-9,4075187156627495000,3.756471829392294e-9,4047090547584542700
8.429837153899297e-9,7728759696827167000,6.851273000143551e-9,9473743654021038000,5.702175818783861e-9,10215178148678870000,3.5398629376535443e-9,4946962903755786000,3.0133963401182655e-9,3876109910372251600,3.966807940309105e-9,5105259928885832000
8.600009024000074e-9,7757294802977536000,6.94018068217997e-9,9177217063776689000,5.850610913784509e-9,9647607521294866000,3.5973977688212492e-9,4504099773328457700,3.3210063171913575e-9,4416024566690361300,4.168930050142829e-9,4378630534291378000
8.756222776438249e-9,7811466932732030000,7.087331012872039e-9,9872289493838602000,5.931267221947604e-9,10529208905671635000,3.6320006585355337e-9,4387366025466550300,3.3164948957620753e-9,4224518079453600000,4.305829979505493e-9,5115074585271974000
8.952300005191435e-9,7891995276662662000,7.185869447516188e-9,9599566897190670000,5.941500519056646e-9,10035361938485148000,3.742587155690528e-9,4797340250553971000,3.2663855513729144e-9,4098060350625644500,4.2829400233258134e-9,4213460786676605000
9.09782780518859e-9,8027081115615564000,7.120854397854068e-9,9339052549298230000,6.09898274504888e-9,10248981193984813000,3.910721148772606e-9,5033588033454447000,3.6728040170690064e-9,4437312972616458000,4.50233143719876e-9,4383289462918138000
9.268313041113248e-9,8095006305827818000,7.422140591688116e-9,9945784585502149000,6.293745046699087e-9,10599376457775956000,3.998509748713155e-9,4526482553786947600,3.6415334366036774e-9,4142181149098742000,4.596665802060471e-9,5082242602932204000
9.464168089584676e-9,8147606588341407000,7.481873168565186e-9,9621410878260513000,6.239446325688382e-9,10103529142439250000,4.053848893740084e-9,4723759062826256000,3.7190203266566314e-9,4009441091466987500,4.533007825799291e-9,4926207902166655000
9.623721342363125e-9,8265519428109561000,7.756324719352416e-9,10098898015280413000,6.402658344397687e-9,10274452307992015000,4.201157681719905e-9,5067836705204728000,3.953686514281539e-9,4720317808726946000,4.80688590803843e-9,4276120481904363500
9.7820215681632e-9,8225926776696144000,7.728876576449721e-9,9813417410265880000,6.5993745406491925e-9,10842195418185683000,4.298924758913714e-9,4918829805610183000,4.01239101192777e-9,4352215077723392000,4.931181475088673e-9,4492804936493191000
9.978343513927543e-9,8337216048929359000,8.094510177098001e-9,10244302913531270000,6.6399432145606026e-9,10601160487470500000,4.359426123719538e-9,4550258244924051500,3.88795118852738e-9,4111814917870762000,5.075272380328267e-9,4021165040149455000
1.0148559596709261e-8,8371308689073929000,8.332703850186658e-9,10472551696010426000,6.751282981018971e-9,10355189820942387000,4.449220864116374e-9,4761038154551884000,4.291850102417713e-9,4874352243228873000,5.130699327258453e-9,4203690829441214500
1.03039160689395e-8,8317720696690908000,8.41965400954981e-9,10009083279682724000,6.692720137227499e-9,10114530011527070000,4.645223979492052e-9,5062399828909400000,4.280744975744332e-9,4582228780365349000,5.088880078935205e-9,3769554432804421600
1.0460883061286535e-8,8466575082989164000,8.670980158475921e-9,10574918130729353000,6.975114320077465e-9,10720099485422922000,4.5926811920507425e-9,4395335245486006300,4.316218221779653e-9,4319275170569550000,5.261663277818564e-9,4581057480170184700
1.0645108967684616e-8,8481530137917570000,8.660403261609933e-9,10262643573984977000,7.0891834637355735e-9,11122383946695254000,4.731583803006838e-9,4795328788770214000,4.6178521352505495e-9,4913743224700328000,5.2426706998875815e-9,4381005974874099700
1.0826947270747474e-8,8552397936367135000,8.787559714519714e-9,9970347635779020000,7.0626739955312e-9,10333247241681422000,4.761248873321649e-9,4558723412663734300,4.627043664189922e-9,4556347972081012700,5.4221697181142595e-9,4290305012409080000
1.1000349618811536e-8,8630969639743958000,9.012198192883036e-9,10741887124669264000,7.308649093998206e-9,10791589149635494000,4.95562233215956e-9,5133867385365930000,4.697715074037936e-9,4381826979683795000,5.580372783804972e-9,4612573118131739000
1.1156523177903402e-8,8680089465867360000,9.003108805523826e-9,10362282168099348000,7.319245909690684e-9,10541233403252756000,4.9599645353752885e-9,4404377245123465000,4.956308783403222e-9,5018543576430539000,5.552986571979299e-9,4466330268063172600
1.132777030894129e-8,8843784871812369000,9.112315905913149e-9,10102545721519990000,7.354009241621694e-9,11350639399394427000,5.083247985940685e-9,4839048041254568000,4.957474154119208e-9,4822761296144878000,5.918170651616828e-9,4828048567119323000
1.1498978313712857e-8,9002562106081093000,9.012923807276585e-9,9815855474628210000,7.379958492831046e-9,11052115448823828000,5.0720125351199875e-9,4568819035140305000,4.981707479418754e-9,4549263795246409700,5.919910725699602e-9,4535716121213335600
1.1684038439534632e-8,9122378542568115000,9.345436021077444e-9,10830509087954285000,7.4047488951707e-9,10099303505676808000,5.314207585639151e-9,5247866639875009000,5.3187135337030365e-9,4897763916866445000,6.050761103927706e-9,4389634188087470000
1.1826245700017303e-8,9196107047308787000,9.32945387902314e-9,10439892389721516000,7.642189843566894e-9,10784711178848627000,5.4062904899373815e-9,4944082918399107000,5.297682583275088e-9,4633262439336094000,6.050905844034894e-9,4154334452889096000
1.201095760206884e-8,9272151755876870000,9.470359657610711e-9,10350024620248297000,7.630015456816438e-9,10441172373511740000,5.4104042630775244e-9,4684525979653554000,5.298576566290091e-9,4483073292815587300,5.923023702269701e-9,4012736057436569600
1.2180576369041201e-8,9231161798785204000,9.696079799391083e-9,11031475560815284000,7.6449043812409e-9,10176503277114786000,5.655508863419494e-9,5281665765880599000,5.647789552288324e-9,4938593630483606000,6.277273594240313e-9,4855076045454539000
1.2362008565172559e-8,9250981955945038000,9.659087693053219e-9,10676586951233680000,7.9867989870452e-9,10784551778439643000,5.7622025434636236e-9,4921495334558996000,5.6368533535742704e-9,4618090270452900000,6.268101146060867e-9,4587618220827224000
1.2521668725138325e-8,9382333029158867000,9.782527506356037e-9,10425730104087396000,7.942580686150231e-9,10566828597321257000,5.763531544999319e-9,4698223076561992000,5.617500445754588e-9,4478574186458448000,6.3126246930045e-9,5019539728932970000
1.2691413170420675e-8,9357140835633453000,1.0043225107452183e-8,11152315113597215000,7.99624698441989e-9,10191992634644951000,5.999152741590173e-9,5464436761942188000,5.9458521971171e-9,4924675359855221000,6.360764807599738e-9,4268468606504954000
1.2876120448458923e-8,9432604305730703000,1.0012362877689164e-8,10833277659972150000,8.251458940700795e-9,10941101056396170000,5.972368371901386e-9,5217084432876784000,5.976423223433722e-9,4535869375444480000,6.596030079946387e-9,4878699090512210000
1.3031868242634573e-8,9428205481885800000,1.0004534778878744e-8,10561354605019510000,8.328544799215626e-9,10661827954468864000,6.086967416035326e-9,4952950765501176000,6.164426483147507e-9,4824884961919293000,6.618017957091411e-9,4575540327849021400
1.3188656795494305e-8,9554630024630088000,1.0122422361574913e-8,10426375474065660000,8.296972890120248e-9,10355307946697337000,5.975225924752913e-9,4737015553820160000,6.340569112081802e-9,5072003760727720000,6.740074005466314e-9,4414951787072358400
1.3372926855291106e-8,9575135161777430000,1.0375781297882955e-8,11247731699021111000,8.30696673447942e-9,10085672113679570000,6.345567510993578e-9,5588594582629915000,6.3154694746701e-9,4541616409112355000,6.813964438339012e-9,4208255616183128000
1.3542968612771708e-8,9587315111571570000,1.0311103445497837e-8,11001346343867085000,8.57745273146723e-9,10008175728150790000,6.314949504957291e-9,5307132240404310000,6.503720404168143e-9,4789023471831742000,6.868378812670575e-9,5013000881737521000
1.371326177429807e-8,9631096549918423000,1.0372615271551096e-8,10722607016692634000,8.537501256622334e-9,10581102926354379000,6.321561330358047e-9,5100560132464101000,6.670658048806461e-9,5226257793283793000,6.9587445315049695e-9,4705889619474940000
1.3883435422865496e-8,9659855209326805000,1.0477301154020605e-8,10530329339661677000,8.648827577872823e-9,10333442197195690000,6.6681129338964025e-9,5653837098173809000,6.651875283215737e-9,4990957814824731000,7.050974843484941e-9,4402001804540743700
1.405374138935175e-8,9705246231131350000,1.069575590383889e-8,11287505184923590000,8.881242256156115e-9,10094205501919940000,6.636935898221513e-9,5342989749862478000,6.65704180843231e-9,4554538527238308000,7.074700514143825e-9,5163215570629884000
1.422375995562722e-8,9714511046441000000,1.0693305888180666e-8,10979538216684925000,8.943148158083447e-9,9748121505150257000,6.671588520924117e-9,5069938477517550000,6.842535405716456e-9,4833620453094466000,7.124596473301427e-9,4165113333812846600
1.4392791117218137e-8,9599659092901851000,1.0691513193796601e-8,10754196532607853000,8.925798860210988e-9,9545284111241159000,6.986065291002756e-9,5812553747984364000,6.961351769112295e-9,5217298988800381000,7.228682702885131e-9,4928690620711178000
1.4576809772969173e-8,9588562741496482000,1.0717776166523165e-8,10495107376750744000,9.205757966522598e-9,10319477107943817000,6.994665886526558e-9,5554435309181135000,7.028473610276962e-9,5017458025626608000,7.2986049458442946e-9,4574857251847356400
1.4718350464151103e-8,9578503485133892000,1.1018346477733174e-8,11249209288952300000,9.126939170103171e-9,9906207271585126000,6.979168850601307e-9,5388780256501076000,7.006600777467519e-9,4520376765896167400,7.497966350986451e-9,5261451532792787000
