t(s),Flux surface 1: solute,Flux surface 2: solute,Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1
0.05924006916124235,2.6538326609704886e+19,-1.4665152249621753e-115,298.00000000000057,2.445786012914021e+18,1.7720218854585585e+18,6.737641274554614e+17
0.06526407607736659,2.6021466245440254e+19,-2.9438082616443633e-109,298.00000000000057,2.602540462334241e+18,1.8316731774231567e+18,7.708672849110834e+17
0.07189048368510326,2.555205408331213e+19,-2.8699540028690175e-103,298.00000000000057,2.7718598375439386e+18,1.890863032043229e+18,8.809968055007148e+17
0.07917953205361358,2.5127056317718712e+19,-1.4056343574492387e-97,298.00000000000057,2.955013317592361e+18,1.9492993156587397e+18,1.0057140019336207e+18
0.08719748525897494,2.4743458478507827e+19,-3.5711250315993206e-92,298.00000000000057,3.1534064720058307e+18,2.0066761472957504e+18,1.1467303247100822e+18
0.09601723378487245,2.4398252638036824e+19,-4.851096589220246e-87,298.00000000000057,3.368594308193721e+18,2.0626790682308296e+18,1.3059152399628948e+18
0.1057189571633597,2.4088428313121264e+19,-3.6262144098038884e-82,298.00000000000057,3.6022950921247964e+18,2.1169914444578747e+18,1.485303647666926e+18
0.11639085287969568,2.381096726913493e+19,-1.5327601443684168e-77,298.00000000000057,3.8564049119160463e+18,2.169302071803262e+18,1.6871028401127803e+18
0.12812993816766527,2.3562842389921e+19,-3.759426170406166e-73,298.00000000000057,4.133012945890279e+18,2.219313865941008e+18,1.9136990799492687e+18
0.1410429319844318,2.3341020717742957e+19,-5.48330085673042e-69,298.00000000000057,4.434417390935334e+18,2.2667534142315868e+18,2.1676639767037476e+18
0.15524722518287498,2.3142470634306253e+19,-4.867909527973921e-65,298.00000000000057,4.76314200431931e+18,2.3113810480851005e+18,2.451760956234214e+18
0.17087194770116249,2.296417299858414e+19,-2.6891832531157805e-61,298.00000000000057,5.121953212850167e+18,2.3530009721804027e+18,2.768952240669772e+18
0.18805914247127875,2.280313585021713e+19,-9.44044048643173e-58,298.00000000000057,5.513877747245744e+18,2.391470873264751e+18,3.1224068739809976e+18
0.20696505671840665,2.265641205878884e+19,-2.1484203287888423e-54,298.00000000000057,5.942220765864176e+18,2.4267103431946276e+18,3.515510422669546e+18
0.22776156239024734,2.2521119062153458e+19,-3.2302106604102644e-51,298.00000000000057,6.410584438614294e+18,2.458707407797797e+18,3.951877030816503e+18
0.2506377186292721,2.239445961061397e+19,-3.2669793373705835e-48,298.00000000000057,6.922886965884547e+18,2.487522474772871e+18,4.4353644911116744e+18
0.2758014904921993,2.2273742263818777e+19,-2.2609703901652923e-45,298.00000000000057,7.483382004543975e+18,2.513289116662574e+18,4.970092887881409e+18
0.30348163954141927,2.2156400275848212e+19,-1.0882610342554025e-42,298.00000000000057,8.096678458418879e+18,2.536211297656028e+18,5.560467160762846e+18
0.33392980349556123,2.204000753143818e+19,-3.699663803598054e-40,298.00000000000057,8.767760558603942e+18,2.5565569318622956e+18,6.211203626741652e+18
0.3674227838451174,2.1922290313657274e+19,-9.014542605358178e-38,298.00000000000057,9.502008104234232e+18,2.574648005807258e+18,6.927360098426972e+18
0.40426506222962916,2.180113398319772e+19,-1.596295429435475e-35,298.00000000000057,1.0305216652740616e+19,2.590847871733734e+18,7.714368781006896e+18
0.4447915684525921,2.1674584039476195e+19,-2.08159087804997e-33,298.00000000000057,1.1183617338030252e+19,2.605546668280057e+18,8.578070669750193e+18
0.48937072529785136,2.154084154920947e+19,-2.0240272598347214e-31,298.00000000000057,1.2143895856259387e+19,2.619146090932808e+18,9.524749765326615e+18
0.5384077978276365,2.139825347077541e+19,-1.4849701799648978e-29,298.00000000000057,1.3193209996089534e+19,2.63204485983591e+18,1.0561165136253616e+19
0.5923485776104002,2.1245298935460147e+19,-8.31322258100182e-28,298.00000000000057,1.4339204911100518e+19,2.64462617861333e+18,1.1694578732487203e+19
0.6516834353714402,2.1080572975254036e+19,-3.5890795447772184e-26,298.00000000000057,1.559002514673769e+19,2.6572482372454825e+18,1.2932776909492191e+19
0.7169517789085843,2.090276948072975e+19,-1.2070521320344347e-24,298.00000000000057,1.6954322254859594e+19,2.6702384152992973e+18,1.4284083839560292e+19
0.7887469567994428,2.0710665256755134e+19,-3.1925332047733116e-23,298.00000000000057,1.844125666817023e+19,2.6838913554401546e+18,1.5757365312730053e+19
0.8677216524793872,2.0503106942252515e+19,-6.700905140892245e-22,298.00000000000057,2.0060492376538472e+19,2.698470590517322e+18,1.7362021786021175e+19
0.954593817727326,2.027900228844546e+19,-1.1257539644471387e-20,298.00000000000057,2.1822182858511634e+19,2.71421301141905e+18,1.910796984709261e+19
1.0501531995000586,2.0037316894323626e+19,-1.5261854057029462e-19,298.00000000000057,2.3736946684960387e+19,2.731335225896032e+18,2.100561145906436e+19
1.1552685194500645,1.9777077055756763e+19,-1.6826908807117256e-18,298.00000000000057,2.5815831239634956e+19,2.75004080897429e+18,2.3065790430660714e+19
1.270895371395071,1.9497378969566552e+19,-1.5201030470302015e-17,298.00000000000057,2.8070263108394115e+19,2.7705275657956434e+18,2.5299735542598496e+19
1.3980849085345783,1.9197404161150525e+19,-1.133274637683893e-16,298.00000000000057,3.0511983894704447e+19,2.792994162888185e+18,2.771898973181626e+19
1.5379933993880364,1.8876440726807273e+19,-7.021413938612493e-16,298.00000000000057,3.3152970548941894e+19,2.8176457615282324e+18,3.0335324787413713e+19
1.6918927393268401,1.853390977494809e+19,-3.640168179346947e-15,298.00000000000057,3.6005339782973178e+19,2.8446985396699853e+18,3.316064124330327e+19
1.8611820132595243,1.8169396276267825e+19,-1.589991067542602e-14,298.00000000000057,3.908123681126595e+19,2.8743831720539274e+18,3.620685363921193e+19
2.047400214585477,1.7782683370780981e+19,-5.891896741802848e-14,298.00000000000057,4.239270954428297e+19,2.906947435946115e+18,3.948576210833684e+19
2.252240236044025,1.7373788975054496e+19,-1.8656217590034218e-13,298.00000000000057,4.595157047852083e+19,2.94265813202877e+18,4.300891234649205e+19
2.4775642596484273,1.6943003280908591e+19,-5.086492536153401e-13,298.00000000000057,4.976924988184535e+19,2.981802480148446e+18,4.678744740169678e+19
