t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1
45.290015211047574,300.0000000000006,4.415499598374319e+19,1.182094632457448e+17,3.636104311391898e+19,6.965825619804307e+18,7.099177867742033e+17
49.01321642793138,300.0000000000006,4.597114127915983e+19,1.2307688649092587e+17,3.782297322406885e+19,7.254149023129314e+18,7.709421454707928e+17
53.034273742165894,300.0000000000006,4.785905304515599e+19,1.2812910974700208e+17,3.934041990783822e+19,7.553370288482444e+18,8.371337390883596e+17
57.37701564153917,300.0000000000006,4.98218144818584e+19,1.3337343285367174e+17,4.091559101738144e+19,7.863912715054691e+18,9.089373165686452e+17
62.06717689286231,300.0000000000006,5.186264175770245e+19,1.3881741407660507e+17,4.2550772911932735e+19,8.186214900693918e+18,9.868365309992472e+17
67.13255104429129,300.0000000000006,5.3984890620054045e+19,1.444688785444439e+17,4.4248333135649735e+19,8.520731230923735e+18,1.0713573749361565e+18
72.6031551278346,300.0000000000006,5.619206333042039e+19,1.5033592670860394e+17,4.601072312028187e+19,8.867932366201769e+18,1.163071917228231e+18
78.51140753806138,300.0000000000006,5.8487815941480645e+19,1.5642694279874458e+17,4.784048090649648e+19,9.228305725358967e+18,1.2626023668264591e+18
84.8923201411063,300.0000000000006,6.0875965933576495e+19,1.627506032416012e+17,4.974023387630492e+19,9.602355963093529e+18,1.3706254909365146e+18
91.78370575239481,300.0000000000006,6.336050022868325e+19,1.6931588500524845e+17,5.171270148765139e+19,9.99060543918351e+18,1.487877416843192e+18
99.2264022125864,300.0000000000006,6.59455836001689e+19,1.7613207382459798e+17,5.3760698000658326e+19,1.0393594676881023e+19,1.6151588488049766e+18
107.26451438959332,300.0000000000006,6.863556749680402e+19,1.8320877225701875e+17,5.588713518327446e+19,1.0811882807686433e+19,1.7533407335862006e+18
115.94567554076079,300.0000000000006,7.14349992994621e+19,1.9055590750928138e+17,5.8095024982143934e+19,1.1246047999348582e+19,1.9033704104603628e+18
125.32132958402165,300.0000000000006,7.43486320287199e+19,1.9818373896852576e+17,6.038748214237305e+19,1.1696687863502481e+19,2.0662782838759017e+18
135.44703595074338,300.0000000000006,7.73814345211189e+19,2.0610286536052874e+17,6.276772675749635e+19,1.2164419838844815e+19,2.2431850594172483e+18
146.38279882680285,300.0000000000006,8.053860209114622e+19,2.1432423144811283e+17,6.523908672832277e+19,1.2649881545164286e+19,2.435309586211196e+18
158.19342273294708,300.0000000000006,8.382556769503247e+19,2.2285913417103923e+17,6.780500010643766e+19,1.3153731102911013e+19,2.6439773515128663e+18
170.94889655158286,300.0000000000006,8.72480136112111e+19,2.3171922811601075e+17,7.046901729494728e+19,1.3676647412298523e+19,2.8706296758492984e+18
184.7248082757095,300.0000000000006,9.081188365072189e+19,2.409165301914664e+17,7.32348030755557e+19,1.4219330385178016e+19,3.116833659796865e+18
199.60279293776628,300.0000000000006,9.452339590904876e+19,2.5046342331315306e+17,7.610613836242154e+19,1.478250118418526e+19,3.384292939128972e+18
213.37870466189293,300.0000000000006,9.785288231453028e+19,2.5909148169856067e+17,7.868923699815704e+19,1.5271824917552003e+19,3.6327289171227177e+18
228.2566893239497,300.0000000000006,1.0133590699841647e+20,2.6807624884767306e+17,8.138083812964165e+19,1.578444126323231e+19,3.902551356694959e+18
244.324912758971,300.0000000000006,1.0497898237072884e+20,2.774245275760531e+17,8.418182125196675e+19,1.6324038840580946e+19,4.1956977506052076e+18
261.67859406879404,300.0000000000006,1.0878897700447104e+20,2.871486797988152e+17,8.70975838372583e+19,1.6890114311585415e+19,4.514130175828492e+18
277.74681750381535,300.0000000000006,1.1221890439362953e+20,2.9594533596823904e+17,8.972739969023466e+19,1.7385762450412382e+19,4.809796917014362e+18
295.10049881363835,300.0000000000006,1.1581921285826553e+20,3.0512683555738714e+17,9.247568464186301e+19,1.7907575989225705e+19,5.130825391619481e+18
313.8424746282472,300.0000000000006,1.1959722239550618e+20,3.147029124649541e+17,9.534402290116156e+19,1.8458993747831087e+19,5.479502834048607e+18
334.0838085080248,300.0000000000006,1.2356060078859833e+20,3.246882753007185e+17,9.833829696925286e+19,1.903948273983429e+19,5.858132804210571e+18
352.82578432263364,300.0000000000006,1.2713791404548589e+20,3.337343275057692e+17,1.0104526545163115e+20,1.9549399728854397e+19,6.209514537494703e+18
373.0671182024112,300.0000000000006,1.3090236123442997e+20,3.4319759237958195e+17,1.0388060173162575e+20,2.0087633104868024e+19,6.590928805556776e+18
394.927758792571,300.0000000000006,1.3486212543407361e+20,3.530893665929301e+17,1.0684632756550527e+20,2.065763138286316e+19,7.005077119112416e+18
415.1690926723486,300.0000000000006,1.2524368007472413e+20,1.825284327270104e+17,9.655360600294416e+19,2.1152123037761958e+19,7.355422601291126e+18
433.91106848695745,300.0000000000006,1.2060489520477104e+20,1.4532323344137853e+17,9.146370776645237e+19,2.1580439163288736e+19,7.415425041588713e+18
434.3110684869574,300.0000000000006,1.2050743080572102e+20,1.446935958220452e+17,9.135667272056359e+19,2.158942739537194e+19,7.416637093963563e+18
434.7110684869574,300.0000000000006,1.2041136022815895e+20,1.440734989035984e+17,9.125121842029447e+19,2.15982751501112e+19,7.417793158849692e+18
435.1110684869574,300.0000000000006,1.2031657433558863e+20,1.4346239795811645e+17,9.114721678783221e+19,2.160699386851826e+19,7.418901281280172e+18
435.51106848695736,300.0000000000006,1.2022298757599068e+20,1.4286003884252226e+17,9.104456615225264e+19,2.161559397856168e+19,7.419967406333904e+18
435.91106848695733,300.0000000000006,1.2013053054392795e+20,1.4226618163055667e+17,9.094318305969581e+19,2.1624085010337563e+19,7.420996292264037e+18
436.3110684869573,300.0000000000006,1.200391452588938e+20,1.4168059826338229e+17,9.084299705953835e+19,2.163247569025145e+19,7.421991910840744e+18
436.7110684869573,300.0000000000006,1.199487820908735e+20,1.4110307126381733e+17,9.074394734358025e+19,2.1640774021290177e+19,7.422957654739321e+18
437.11106848695727,300.0000000000006,1.19859397704652e+20,1.4053339275763792e+17,9.06459804964286e+19,2.164898735280961e+19,7.423896462656215e+18
437.51106848695724,300.0000000000006,1.1977095364757622e+20,1.3997136368540104e+17,9.05490489380162e+19,2.165712244186185e+19,7.424810904012819e+18
437.9110684869572,300.0000000000006,1.1968341535285518e+20,1.3941679314452662e+17,9.045310981134303e+19,2.1665185507452977e+19,7.425703240914661e+18
438.3110684869572,300.0000000000006,1.1959675141746316e+20,1.3886949782618934e+17,9.035812416506793e+19,2.1673182278781514e+19,7.426575475787692e+18
438.7110684869572,300.0000000000006,1.1951093306580355e+20,1.383293015242859e+17,9.026405633677174e+19,2.168111803829383e+19,7.427429389213786e+18
439.11106848695715,300.0000000000006,1.194259337419933e+20,1.3779603470101046e+17,9.017087347639452e+19,2.1688997660241744e+19,7.428266570656088e+18
439.51106848695713,300.0000000000006,1.1934172879325408e+20,1.3726953409806048e+17,9.00785451700296e+19,2.169682564531426e+19,7.429088443812258e+18
439.9110684869571,300.0000000000006,1.1925829521925946e+20,1.3674964238543758e+17,8.998704313725862e+19,2.170460615182634e+19,7.429896287789264e+18
440.3110684869571,300.0000000000006,1.1917561147022359e+20,1.3623620784179054e+17,8.989634098354892e+19,2.1712343023875068e+19,7.430691254957874e+18
440.71106848695706,300.0000000000006,1.1909365728170905e+20,1.3572908406165086e+17,8.980641399470632e+19,2.1720039816815596e+19,7.43147438612562e+18
441.11106848695704,300.0000000000006,1.1901241353759459e+20,1.3522812968590192e+17,8.971723896403316e+19,2.172769982035958e+19,7.432246623516104e+18
441.511068486957,300.0000000000006,1.189318621549861e+20,1.3473320815256027e+17,8.962879404534014e+19,2.1735326079558377e+19,7.433008821935126e+18
441.911068486957,300.0000000000006,1.1885198598649153e+20,1.3424418746548715e+17,8.954105862670216e+19,2.1742921413899133e+19,7.433761758424845e+18
442.31106848695697,300.0000000000006,1.1877276873641604e+20,1.3376093997906661e+17,8.945401322107663e+19,2.1750488434712056e+19,7.434506140648333e+18
442.71106848695695,300.0000000000006,1.1869419488825839e+20,1.3328334219720336e+17,8.936763937079727e+19,2.1758029561063305e+19,7.435242614200729e+18
443.1110684869569,300.0000000000006,1.1861624964148634e+20,1.3281127458524691e+17,8.92819195636072e+19,2.1765547034285957e+19,7.435971769008122e+18
443.5110684869569,300.0000000000006,1.1853891885600581e+20,1.3234462139364224e+17,8.919683715838075e+19,2.177304293128439e+19,7.436694144947204e+18
443.9110684869569,300.0000000000006,1.1846218900307386e+20,1.3188327049227898e+17,8.911237631905561e+19,2.178051917673025e+19,7.437410236795949e+18
444.31106848695686,300.0000000000006,1.183860471216512e+20,1.3142711321462696e+17,8.902852195557199e+19,2.178797755425642e+19,7.438120498608365e+18
