t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
936.5041853439999,1.1006783724583314e+18,5.363773021988801e+21,4.6539818844145923e+21,1.0018855584775845e+22
951.5041853439999,1.1842575926985152e+18,5.256866288798501e+21,4.651436114705326e+21,9.909486661096517e+21
966.5041853439999,1.2680135038507784e+18,5.141132390211443e+21,4.648589616420446e+21,9.79099002013573e+21
981.5041853439999,1.3506626216621573e+18,5.016033909839268e+21,4.6454097620222125e+21,9.662794334483138e+21
996.5041853439999,1.4306958849812024e+18,4.881018294631662e+21,4.641860114714831e+21,9.524309105231446e+21
1011.5041853439999,1.5063977057060444e+18,4.735526403442635e+21,4.637899035400772e+21,9.374931836549102e+21
1026.5041853439998,1.5758924582138678e+18,4.5790118116096035e+21,4.6334770631477203e+21,9.214064767215531e+21
1041.5041853439998,1.6372173029945341e+18,4.4109775871689464e+21,4.628532590629083e+21,9.041147395101018e+21
1056.5041853439998,1.6884142659714432e+18,4.2310359142612515e+21,4.6229856851340983e+21,8.855710013661312e+21
1071.5041853439998,1.7276317926160256e+18,4.0389907530419017e+21,4.616730441358874e+21,8.657448826193375e+21
1086.5041853439998,1.7532267420746363e+18,3.834935811526022e+21,4.609626660161383e+21,8.446315698429471e+21
1101.5041853439998,1.7638599636203187e+18,3.619352845293316e+21,4.601491568690671e+21,8.222608273947593e+21
1116.5041853439998,1.7585802641377162e+18,3.393192375516957e+21,4.5920916840786753e+21,7.987042639859759e+21
1131.5041853439998,1.736892372438127e+18,3.157921835348285e+21,4.581134120032294e+21,7.740792847753021e+21
1146.5041853439998,1.6988053171129324e+18,2.915533345024632e+21,4.568256102771099e+21,7.48548825311284e+21
1161.5041853439998,1.6448592698557727e+18,2.668511353482115e+21,4.5530114515068214e+21,7.223167664258793e+21
1176.5041853439998,1.5761312305191772e+18,2.4197661531618615e+21,4.5348532890287095e+21,6.956195573421079e+21
1191.5041853439998,1.4942219865638305e+18,2.172541386123236e+21,4.5131132421772893e+21,6.687148850287082e+21
1206.5041853439998,1.401227447569856e+18,1.9303024624805628e+21,4.486979033374438e+21,6.418682723302575e+21
1221.5041853439998,1.2996959309932116e+18,1.696609488828088e+21,4.4554751175655833e+21,6.15338430232466e+21
1236.5041853439998,1.1925688063185782e+18,1.4749739598799417e+21,4.417455535237111e+21,5.893622063923363e+21
1251.5041853439998,1.0830949219759473e+18,1.268693917752192e+21,4.371624739476436e+21,5.641401752150606e+21
1266.5041853439998,9.747002082544296e+17,1.0806589885398702e+21,4.31660933914947e+21,5.398243027897588e+21
