t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
1268.9009374925456,1.1736381154802477e+19,2.123872881564688e+21,3.64205920817812e+21,5.77766847089761e+21
1283.9009374925456,1.1273959799961453e+19,1.954836093790503e+21,3.5804998981340464e+21,5.546609951724509e+21
1298.9009374925456,1.0828096477719458e+19,1.798230176379206e+21,3.513850548666504e+21,5.322908821523427e+21
1313.9009374925456,1.0401654629942729e+19,1.6538459800948428e+21,3.4422165878821403e+21,5.106464222606926e+21
1328.9009374925456,9.996490009132435e+18,1.5212662123975148e+21,3.3657924914239326e+21,4.897055193830575e+21
1343.9009374925456,9.613535207228942e+18,1.3999101563528114e+21,3.2848528098259763e+21,4.694376501386015e+21
1358.9009374925456,9.252918342899548e+18,1.2890801161668212e+21,3.199738650909958e+21,4.498071685419681e+21
1373.9009374925456,8.914104760181545e+18,1.1880060456850547e+21,3.1108416453765764e+21,4.3077617958218105e+21
1388.9009374925456,8.596048315245513e+18,1.0958853862734504e+21,3.01858752872981e+21,4.1230689633184996e+21
1403.9009374925456,8.297339311452645e+18,1.0119161182607665e+21,2.923421121571872e+21,3.9436345791440937e+21
1418.9009374925456,8.016338816548759e+18,9.353221439912697e+20,2.8257938669451335e+21,3.769132349752952e+21
1433.9009374925456,7.751292868553413e+18,8.653711142817477e+20,2.726154406959748e+21,3.5992768141100413e+21
1448.9009374925456,7.500423855410684e+18,8.013855236414823e+20,2.624942119678333e+21,3.4338280671752214e+21
1463.9009374925456,7.261999393282439e+18,7.427482889312805e+20,2.52258317126245e+21,3.272593459587009e+21
1478.9009374925456,7.034381027221591e+18,6.889041349182658e+20,2.41948846926997e+21,3.1154269852154583e+21
1493.9009374925456,6.816056081255357e+18,6.393580240695383e+20,2.3160528861855886e+21,2.9622269663363843e+21
1508.9009374925456,6.605656223823904e+18,5.936716756835723e+20,2.2126551995590917e+21,2.812932531466484e+21
1523.9009374925456,6.401966066141405e+18,5.5145899117604464e+20,2.1096583154750797e+21,2.667519272717268e+21
1538.9009374925456,6.20392461493518e+18,5.12380983123322e+20,2.007409469915922e+21,2.5259943776541753e+21
1553.9009374925456,6.010621827797e+18,4.761406186368194e+20,1.9062402177453381e+21,2.388391458209957e+21
1568.9009374925456,5.821291972027103e+18,4.424778404079057e+20,1.8064661129650145e+21,2.2547652453449474e+21
1583.9009374925456,5.635305017205368e+18,4.111649198374303e+20,1.7083860551968657e+21,2.1251862800515022e+21
1598.9009374925456,5.452156914417229e+18,3.8200222027587335e+20,1.6122813282768066e+21,1.999735705467099e+21
1613.9009374925456,5.271459328332286e+18,3.548143975399253e+20,1.5184143909828504e+21,1.8785002478511045e+21
1628.9009374925456,5.09292918030505e+18,3.2944703291668156e+20,1.4270275008635045e+21,1.7615674629604903e+21
1643.9009374925456,4.916378216575728e+18,3.0576367527350246e+20,1.3383412629463147e+21,1.649021316436394e+21
1658.9009374925456,4.74170272114725e+18,2.8364325934866737e+20,1.2525531981745084e+21,1.5409381602443217e+21
1673.9009374925456,4.5688734355093555e+18,2.62977863620994e+20,1.1698364235121037e+21,1.4373831605686066e+21
1688.9009374925456,4.397925716817277e+18,2.4367077108466965e+20,1.0903385280818992e+21,1.3384072248833857e+21
1703.9009374925456,4.228949954267057e+18,2.2563479823634416e+20,1.0141807184636577e+21,1.2440444666542678e+21
1718.9009374925456,4.062082263873177e+18,2.0879086058297462e+20,9.414572922272287e+20,1.1543102350740757e+21
1733.9009374925456,3.897495489691443e+18,1.9306674633871163e+20,8.722354826917501e+20,1.0691997245201546e+21
1748.9009374925456,3.7353905508900383e+18,1.7839607329251076e+20,8.065557005732539e+20,9.88687164416654e+20
1763.9009374925456,3.57598818597047e+18,1.6471740686580623e+20,7.444321804174843e+20,9.127255754692605e+20
1778.9009374925456,3.419521155610885e+18,1.5197352003065496e+20,6.858540223381667e+20,8.412470635244322e+20
1793.9009374925456,3.2662269723977795e+18,1.4011077799067895e+20,6.307866034022517e+20,7.741636083653278e+20
1808.9009374925456,3.116341228050711e+18,1.2907863235810948e+20,5.7917331877113764e+20,7.113682923572973e+20
1823.9009374925456,2.9700915860860134e+18,1.188292110395375e+20,5.309376010545752e+20,6.52736903680199e+20
1838.9009374925456,2.827692500172299e+18,1.0931699123698632e+20,4.8598515773562303e+20,5.981298414727809e+20
1853.9009374925456,2.689340706125783e+18,1.0049854395238659e+20,4.4420636125688975e+20,5.473942459154018e+20
1868.9009374925456,2.555211519388071e+18,9.233233922379625e+19,4.0547872448056885e+20,5.003662752237528e+20
1883.9009374925456,2.4254559510333875e+18,8.47786020844419e+19,3.6966939559293695e+20,4.5687345362841194e+20
1898.9009374925456,2.3001986351576197e+18,7.779920997290284e+19,3.366376107702013e+20,4.1673701937826116e+20
1913.9009374925456,2.1795365402610263e+18,7.135762307219631e+19,3.0623704955431925e+20,3.7977420916677634e+20
1928.9009374925456,2.063538418239175e+18,6.541883983972298e+19,2.7831804629800046e+20,3.458004245559619e+20
1943.9009374925456,1.9522449279617362e+18,5.99493708170338e+19,2.5272962057288434e+20,3.1463123631787953e+20
1958.9009374925456,1.8456693570114353e+18,5.491722467357139e+19,2.293212994462339e+20,2.8608419347681644e+20
1973.9009374925456,1.7437988555382397e+18,5.029190132749539e+19,2.079447144267211e+20,2.599804146097548e+20
1988.9009374925456,1.6465960905974287e+18,4.6044387878493405e+19,1.8845496515830648e+20,2.3614594912739692e+20
2003.9009374925456,1.5540012277243343e+18,4.214715395805563e+19,1.7071175021724162e+20,2.1441290540302116e+20
2018.9009374925456,1.4659341485312655e+18,3.8574143928096104e+19,1.5458027238013927e+20,1.9462035045676696e+20
2033.9009374925456,1.3822968182734907e+18,3.5300764117631234e+19,1.399319313419503e+20,1.7661499227785485e+20
2048.9009374925454,1.3029757249731474e+18,3.2303863962569277e+19,1.2664482104199671e+20,1.6025166072953904e+20
2063.9009374925454,1.2278443211040317e+18,2.9561710494064505e+19,1.1460405156427642e+20,1.4539360637944513e+20
2078.9009374925454,1.1567654093243197e+18,2.70539561007075e+19,1.0370191714276473e+20,1.3191263865279652e+20
2093.9009374925454,1.0895934246479916e+18,2.4761599868865516e+19,9.383793229531813e+19,1.1968912558883165e+20
2108.9009374925454,1.0261765762107272e+18,2.266694308830105e+19,8.49187577258449e+19,1.086118773903565e+20
2123.9009374925454,9.663588219640356e+17,2.0753539704967283e+19,7.685803657331884e+19,9.857793510025016e+19
2138.9009374925454,9.099816588926724e+17,1.900614262035575e+19,6.957616003860483e+19,8.949228431785324e+19
2153.9009374925454,8.568857194800151e+17,1.7410646789091594e+19,6.2999979557637685e+19,8.126751206620912e+19
2168.9009374925454,8.069121720323226e+17,1.5954030066226352e+19,5.706248065935362e+19,7.382342289761228e+19
2183.9009374925454,7.599039280905373e+17,1.4624292715089146e+19,5.170243156872342e+19,6.708662821190313e+19
2198.9009374925454,7.157066645504315e+17,1.3410396416881797e+19,4.686401758196992e+19,6.099012066340202e+19
2213.9009374925454,6.741696713705672e+17,1.2302203534373667e+19,4.24964703199694e+19,5.547284352571363e+19
2228.9009374925454,6.35146537996664e+17,1.1290417282442508e+19,3.855369920205745e+19,5.0479263022496555e+19
2243.9009374925454,5.984956930115128e+17,1.0366523354601718e+19,3.499393090247448e+19,4.595894995008768e+19
2258.9009374925454,5.6408081217770925e+17,9.522733452298998e+18,3.177936116703395e+19,4.1866175431510606e+19
2273.9009374925454,5.317711101180062e+17,8.751931066501949e+18,2.887582217844298e+19,3.8159524355062915e+19
2288.9009374925454,5.014415305069285e+17,8.047619771527706e+18,2.625246765702698e+19,3.4801528959061553e+19
2303.9009374925454,4.729728489449827e+17,7.403874210818925e+18,2.3881477055891685e+19,3.17583241156556e+19
2318.9009374925454,4.4625170175470886e+17,6.815293884203764e+18,2.1737779539000447e+19,2.8999325124958884e+19
