t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
32.88969864678424,-2.3569449767243133e+19,-2.3569449767243133e+19,176212301338398.78,6.663397367236865e+18,4.648637627252977e+17,2.8671934249459274e+19
35.41693378928071,-2.3585230428948255e+19,-2.3585230428948255e+19,182937500794834.4,6.915453923024032e+18,5.010602397399982e+17,2.9773200881212297e+19
37.71442028245932,-2.359885919887459e+19,-2.359885919887459e+19,189156282375941.2,7.136845678273164e+18,5.339451885262422e+17,3.074303943096985e+19
40.241655424955795,-2.361209048018175e+19,-2.361209048018175e+19,195604308682165.88,7.372573255910893e+18,5.7009325728400845e+17,3.1776422494041907e+19
43.02161408170191,-2.362502240893903e+19,-2.362502240893903e+19,202343503354322.53,7.623615176225321e+18,6.098254708912727e+17,3.287719304760553e+19
45.548849224198385,-2.3636230490947703e+19,-2.3636230490947703e+19,208559964939244.97,7.844823995808307e+18,6.459203854370707e+17,3.3849567779879973e+19
48.3288078809445,-2.364719639469486e+19,-2.364719639469486e+19,215016985349260.22,8.081092261895438e+18,6.855941915718875e+17,3.4888694974458184e+19
51.38676240336523,-2.365800477728302e+19,-2.365800477728302e+19,221783235266542.56,8.333449025825729e+18,7.291984057434644e+17,3.599868314152923e+19
54.16672106011135,-2.3667441765005644e+19,-2.3667441765005644e+19,228039206487419.78,8.556314683007087e+18,7.688081076233306e+17,3.698152874155732e+19
57.22467558253208,-2.3676742241238917e+19,-2.3676742241238917e+19,234553384662805.16,8.794905001471571e+18,8.123418875676603e+17,3.803421835828679e+19
60.58842555719488,-2.368597054397481e+19,-2.368597054397481e+19,241394278072231.4,9.050320241538719e+18,8.601844682279738e+17,3.9161135127326876e+19
63.64638007961561,-2.3694075338635678e+19,-2.3694075338635678e+19,247731650138709.03,9.276267170938337e+18,9.036409492020831e+17,4.016082075513845e+19
67.01013005427842,-2.370210793783625e+19,-2.370210793783625e+19,254342808013796.97,9.518602699723917e+18,9.513986010081958e+17,4.123345521254558e+19
70.71025502640751,-2.3710120007518986e+19,-2.3710120007518986e+19,261297053613120.25,9.778502013471318e+18,1.0038782750882644e+18,4.238370737013685e+19
74.07400500107032,-2.3717190454278423e+19,-2.3717190454278423e+19,267750380335343.16,1.0008712223202181e+19,1.0515427277578486e+18,4.3405607873368285e+19
77.77412997319941,-2.3724229064495792e+19,-2.3724229064495792e+19,274491883658987.88,1.0255992823998515e+19,1.1039200092521715e+18,4.450365461449646e+19
81.13787994786222,-2.3730404583335043e+19,-2.3730404583335043e+19,280687738859013.03,1.0475577229135e+19,1.1514914760110545e+18,4.548110596689285e+19
84.8380049199913,-2.3736562041060033e+19,-2.3736562041060033e+19,287145286508815.6,1.0712032451149961e+19,1.203766597422728e+18,4.6533519021156884e+19
88.9081423893333,-2.3742758383017034e+19,-2.3742758383017034e+19,293950973660898.8,1.0966589176482585e+19,1.2612045974548616e+18,4.766595333421772e+19
